orderId,username,productId,productName,fullName,phone,email,zip,street,city,state,price,creditNo,buyId,deliveryMethod,pickupLocation,quantity,createTime
14,1,1,hammer,Nicola Castanon,3123580867,NicolaCastanon@gmail.com,60615,234 East 55th st,Chicago,IL,10.99,5500 4000 0000 4907,213234,pickup,500 Bayonne Crossing Way,1,12/3/20 21:32
15,1,2,shovel,Nicola Castanon,3123580867,NicolaCastanon@gmail.com,60615,234 East 55th st,Chicago,IL,12.99,5500 4000 0000 4907,213234,pickup,500 Bayonne Crossing Way,1,12/3/20 21:32
16,1,4,Knot Filling & Wood Repair Kit,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,170,5500 4000 0000 4907,213322,pickup,8331 S Stewart Ave,1,12/3/20 21:33
17,1,14,WOOD CARVING TOOL SET,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,22.99,5500 4000 0000 4907,213322,pickup,8331 S Stewart Ave,1,12/3/20 21:33
18,1,3,pliers,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,12.99,5500 4000 0000 4907,215022,delivery,Null,1,12/3/20 21:50
19,1,14,WOOD CARVING TOOL SET,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,22.99,5500 4000 0000 4907,215022,delivery,Null,1,12/3/20 21:50
20,1,14,WOOD CARVING TOOL SET,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,22.99,5500 4000 0000 4907,215034,delivery,Null,1,12/3/20 21:50
21,1,3,pliers,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,12.99,5500 4000 0000 4907,215149,delivery,Null,1,12/3/20 21:51
22,1,11,"Screws and Nuts, 1440PCS",Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,19.99,5500 4000 0000 4907,215149,delivery,Null,1,12/3/20 21:51
23,1,4,Knot Filling & Wood Repair Kit,Nicola Castanon,3129986739,NicolaCastanon@gmail.com,60618,3681 Oakmound Road,Chicago,IL,170,5500 4000 0000 4907,215208,delivery,Null,1,12/3/20 21:52
